trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
8,True,"{'a': 0.0, 'e': 0.0}",25,19,10.393183081566844,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,14,7.2624323373302655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,17,14.780665931421929,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,4,1.7961185759105136,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,10,7.519596947150077,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,14,12.389519373213886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,11,13.381613143660386,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,13,-2.7041266083391005,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,14,22.24421034637059,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,5,12.755847636007761,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",30,19,13.42363265945526,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.22440262182185,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,5,28.070484712805722,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",25,11,-16.94456300260067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,True,"{'a': 0.0, 'e': 0.0}",20,15,9.39063835528449,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",25,1,21.203480050334154,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",30,24,12.964641116868863,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,6,25.15614342853237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,20,7.586290726641726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,11,24.343485296522292,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-30.069034586397123,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,15,11.341413436742265,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,7,22.292976237655008,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.22705817799894,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,12,14.397317038984436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",25,12,24.46451603584564,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",20,10,14.366068771110095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",30,12,31.773058169601864,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,13,-5.599274243118705,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",25,14,21.443034838602273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",25,15,-21.39318163364071,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,True,"{'a': 0.0, 'e': 0.0}",25,13,22.3347430381847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",20,12,3.540966632414298,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",20,16,7.38005388203316,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",25,11,24.73385069835149,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.0, 'e': 0.0}",20,10,-1.7601649945080995,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",20,0,29.9558628258969,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0.0, 'e': 0.0}",20,12,11.345952955540197,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0.0, 'e': 0.0}",20,3,-27.964375755389682,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,True,"{'a': 0.0, 'e': 0.0}",20,3,26.445096524467605,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",20,15,5.926227188731859,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",30,16,23.36922599845534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.0, 'e': 0.0}",25,18,11.35730429471608,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",25,11,28.200664029929744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0.0, 'e': 0.0}",20,14,9.912275439765546,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.0, 'e': 0.0}",30,22,14.455011913516836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0.0, 'e': 0.0}",30,22,11.057342484943907,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0.0, 'e': 0.0}",20,3,-10.887007629600156,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,True,"{'a': 0.0, 'e': 0.0}",20,12,16.36286097546337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",25,16,18.28484776619282,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0.0, 'e': 0.0}",20,1,29.515903012056484,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.0, 'e': 0.0}",20,15,3.241425737932156,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0.0, 'e': 0.0}",20,14,10.655856126384347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.0, 'e': 0.0}",20,6,20.300679687652167,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.0, 'e': 0.0}",20,0,33.655065942227296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0.0, 'e': 0.0}",25,0,40.224902474611056,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,True,"{'a': 0.0, 'e': 0.0}",25,9,4.275032765843786,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",25,3,-14.522503127789903,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 0}",1
66,True,"{'a': 0.0, 'e': 0.0}",30,12,30.625935708889813,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.0, 'e': 0.0}",30,9,-4.653747432963292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,True,"{'a': 0.0, 'e': 0.0}",25,17,17.033666420417582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.0, 'e': 0.0}",30,4,35.086889570898016,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",20,7,16.60823574079999,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.0, 'e': 0.0}",20,13,14.818569350292986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",25,8,25.483127310636448,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.0, 'e': 0.0}",20,2,27.73752870549796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.0, 'e': 0.0}",30,12,32.82083354385665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",30,16,19.498877666067617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",20,12,-8.190250758315461,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,True,"{'a': 0.0, 'e': 0.0}",20,5,24.069741992418802,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.0, 'e': 0.0}",30,13,35.145466100280835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.0, 'e': 0.0}",25,14,18.9187355077706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.85352383237809,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
81,True,"{'a': 0.0, 'e': 0.0}",25,12,0.17545452587374744,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,True,"{'a': 0.0, 'e': 0.0}",30,12,34.17223373603855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",20,10,-23.706763115196726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,True,"{'a': 0.0, 'e': 0.0}",25,17,14.145346719906987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.0, 'e': 0.0}",25,5,-7.334309880386943,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,True,"{'a': 0.0, 'e': 0.0}",20,10,15.488872677333536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.0, 'e': 0.0}",25,13,23.745870924974668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.0, 'e': 0.0}",25,19,12.902061896554958,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0.0, 'e': 0.0}",20,15,8.285058771104861,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0.0, 'e': 0.0}",25,12,2.866486097023974,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,True,"{'a': 0.0, 'e': 0.0}",20,6,24.312536774681558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.0, 'e': 0.0}",20,0,28.315423412634075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,True,"{'a': 0.0, 'e': 0.0}",20,10,18.26212035895154,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
